dataset,ttl_path,kge_model,run_index,seed,epochs,embedding_dim,batch_size,lr,n_triples,n_entities,n_relations,train_seconds,train_minutes,is_warmup
WDBC,D:\CEAI_BC_Ontology\data\processed\Wisconsin_Categorized_KnowledgeGraph_enriched_final.ttl,TransE,0,42,50,64,256,0.001,35256,882,70,66.0187633999958,1.1003127233332635,True
WDBC,D:\CEAI_BC_Ontology\data\processed\Wisconsin_Categorized_KnowledgeGraph_enriched_final.ttl,TransE,1,43,50,64,256,0.001,35256,882,70,66.22168959999544,1.1036948266665907,False
WDBC,D:\CEAI_BC_Ontology\data\processed\Wisconsin_Categorized_KnowledgeGraph_enriched_final.ttl,TransE,2,44,50,64,256,0.001,35256,882,70,67.09628510000039,1.1182714183333398,False
WDBC,D:\CEAI_BC_Ontology\data\processed\Wisconsin_Categorized_KnowledgeGraph_enriched_final.ttl,RotatE,0,42,50,64,256,0.001,35256,882,70,82.94619979999698,1.382436663333283,True
WDBC,D:\CEAI_BC_Ontology\data\processed\Wisconsin_Categorized_KnowledgeGraph_enriched_final.ttl,RotatE,1,43,50,64,256,0.001,35256,882,70,102.18601879999915,1.7031003133333191,False
WDBC,D:\CEAI_BC_Ontology\data\processed\Wisconsin_Categorized_KnowledgeGraph_enriched_final.ttl,RotatE,2,44,50,64,256,0.001,35256,882,70,102.14684249999846,1.7024473749999742,False
WDBC,D:\CEAI_BC_Ontology\data\processed\Wisconsin_Categorized_KnowledgeGraph_enriched_final.ttl,ComplEx,0,42,50,64,256,0.001,35256,882,70,95.90926380000019,1.598487730000003,True
WDBC,D:\CEAI_BC_Ontology\data\processed\Wisconsin_Categorized_KnowledgeGraph_enriched_final.ttl,ComplEx,1,43,50,64,256,0.001,35256,882,70,95.8240100999974,1.5970668349999566,False
WDBC,D:\CEAI_BC_Ontology\data\processed\Wisconsin_Categorized_KnowledgeGraph_enriched_final.ttl,ComplEx,2,44,50,64,256,0.001,35256,882,70,89.32172729999729,1.488695454999955,False
Coimbra,D:\CEAI_BC_Ontology\data\processed\Breast_Cancer_Coimbra.ttl,TransE,0,42,50,64,256,0.001,147,130,3,4.2730609999998705,0.07121768333333117,True
Coimbra,D:\CEAI_BC_Ontology\data\processed\Breast_Cancer_Coimbra.ttl,TransE,1,43,50,64,256,0.001,147,130,3,4.2601476999989245,0.07100246166664874,False
Coimbra,D:\CEAI_BC_Ontology\data\processed\Breast_Cancer_Coimbra.ttl,TransE,2,44,50,64,256,0.001,147,130,3,4.237424799997825,0.07062374666663042,False
Coimbra,D:\CEAI_BC_Ontology\data\processed\Breast_Cancer_Coimbra.ttl,RotatE,0,42,50,64,256,0.001,147,130,3,4.336060000001453,0.07226766666669088,True
Coimbra,D:\CEAI_BC_Ontology\data\processed\Breast_Cancer_Coimbra.ttl,RotatE,1,43,50,64,256,0.001,147,130,3,4.352345899998909,0.07253909833331515,False
Coimbra,D:\CEAI_BC_Ontology\data\processed\Breast_Cancer_Coimbra.ttl,RotatE,2,44,50,64,256,0.001,147,130,3,4.2816410000014,0.07136068333335667,False
Coimbra,D:\CEAI_BC_Ontology\data\processed\Breast_Cancer_Coimbra.ttl,ComplEx,0,42,50,64,256,0.001,147,130,3,4.393241300000227,0.07322068833333711,True
Coimbra,D:\CEAI_BC_Ontology\data\processed\Breast_Cancer_Coimbra.ttl,ComplEx,1,43,50,64,256,0.001,147,130,3,4.357158099999651,0.07261930166666085,False
Coimbra,D:\CEAI_BC_Ontology\data\processed\Breast_Cancer_Coimbra.ttl,ComplEx,2,44,50,64,256,0.001,147,130,3,4.437254999997094,0.07395424999995157,False
