Dataset,ArtifactsModel,Setting,use_embeddings,use_clusters,use_sparql,n_train,n_test,n_features,pca_components,pca_explained_var_sum,hdb_n_clusters_train,hdb_noise_frac_train,meta_C,meta_cv_auc,seed,Accuracy,Precision,Recall,F1-score,ROC-AUC
Coimbra,TransE,Baseline A (Tabular only),False,False,False,92,24,10,,,,,0.1,1.0,42,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline A (Tabular only),False,False,False,92,24,10,,,,,0.1,1.0,43,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline A (Tabular only),False,False,False,92,24,10,,,,,0.1,1.0,44,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline A (Tabular only),False,False,False,92,24,10,,,,,0.1,1.0,45,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline A (Tabular only),False,False,False,92,24,10,,,,,0.1,1.0,46,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline B (+Embeddings PCA),True,False,False,92,24,18,8.0,0.3220777796145606,,,0.1,1.0,42,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline B (+Embeddings PCA),True,False,False,92,24,18,8.0,0.3253936961831366,,,0.1,1.0,43,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline B (+Embeddings PCA),True,False,False,92,24,18,8.0,0.32648711150360665,,,0.1,1.0,44,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline B (+Embeddings PCA),True,False,False,92,24,18,8.0,0.32657945285005985,,,0.1,1.0,45,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline B (+Embeddings PCA),True,False,False,92,24,18,8.0,0.3244437110107565,,,0.1,1.0,46,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline C (+Clusters soft +dist),True,True,False,92,24,32,8.0,0.3220777796145606,0.0,1.0,0.1,1.0,42,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline C (+Clusters soft +dist),True,True,False,92,24,32,8.0,0.3253936961831366,0.0,1.0,0.1,1.0,43,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline C (+Clusters soft +dist),True,True,False,92,24,32,8.0,0.32648711150360665,0.0,1.0,0.1,1.0,44,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline C (+Clusters soft +dist),True,True,False,92,24,32,8.0,0.32657945285005985,0.0,1.0,0.1,1.0,45,1.0,1.0,1.0,1.0,1.0
Coimbra,TransE,Baseline C (+Clusters soft +dist),True,True,False,92,24,32,8.0,0.3244437110107565,0.0,1.0,0.1,1.0,46,1.0,1.0,1.0,1.0,1.0
